N° auto;nom;région administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unité urbaine;population unité urbaine;situation géographique;écrans;fauteuils;semaines d'activité;séances;entrées 2021;entrées 2020;évolution entrées;tranche d'entrées;propriétaire;programmateur;AE;catégorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmés;nombre de films inédits;nombre de films en semaine 1;PdM en entrées des films français;PdM en entrées des films américains;PdM en entrées des films européens;PdM en entrées des autres films;films Art et Essai;part des séances de films Art et Essai;PdM en entrées des films Art et Essai;latitude;longitude
31;UGC NORMANDIE;ILE-DE-FRANCE;116 AVENUE DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;36827;75;00851;Paris;10909327;01-Paris;4;1610;32;4 004;119 434;75 648;57,9;De 100 à 150 000 entrées;UGC SAS;UGC;NON;NON;;FIXE;NON;C;80;48;45;45,8;29,8;24,5;0,0;22;41,6;35,8;48.872265;2.300938
35;BALZAC;ILE-DE-FRANCE;1 RUE BALZAC;75108;Paris 8e Arrondissement;36827;75;00851;Paris;10909327;01-Paris;3;589;32;2 855;55 067;45 293;21,6;De 50 à 80 000 entrées;CINELBA;;OUI;A;RD;FIXE;NON;C;136;58;40;68,8;5,6;11,8;13,8;53;97,0;97,2;48.872431;2.299525
54;GAUMONT CHAMPS ELYSEES MARIGNAN;ILE-DE-FRANCE;27/33 AVENUE DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;36827;75;00851;Paris;10909327;01-Paris;6;1597;32;5 335;169 651;80 996;109,5;De 150 à 200 000 entrées;LES CINEMAS PATHE GAUMONT;PATHE GAUMONT;NON;NON;;FIXE;NON;C;87;77;66;22,1;55,6;20,8;1,5;9;6,4;7,6;48.869654;2.306873
55;ELYSEES LINCOLN;ILE-DE-FRANCE;14 RUE LINCOLN;75108;Paris 8e Arrondissement;36827;75;00851;Paris;10909327;01-Paris;3;448;32;2 841;23 035;19 379;18,9;De 20 à 30 000 entrées;STUDIO DU DRAGON;;OUI;A;RD;FIXE;NON;C;102;62;57;56,0;5,3;22,1;16,6;60;99,3;99,5;48.870512;2.303157
204; UGC OPERA;ILE-DE-FRANCE;32 BD DES ITALIENS;75109;Paris 9e Arrondissement;60370;75;00851;Paris;10909327;01-Paris;4;760;32;4 044;81 837;55 232;48,2;De 80 à 100 000 entrées;UGC SAS;UGC;NON;NON;;FIXE;NON;C;63;37;39;63,9;12,2;23,9;0,0;20;53,4;44,7;48.871332;2.335302
301;MAX LINDER;ILE-DE-FRANCE;24 BD POISSONNIERE;75109;Paris 9e Arrondissement;60370;75;00851;Paris;10909327;01-Paris;1;591;32;868;59 031;37 409;57,8;De 50 à 80 000 entrées;PARAFRANCE COMMUNICATION;;OUI;A;;FIXE;NON;C;58;14;11;22,5;48,9;22,2;6,4;10;72,5;74,2;48.871363;2.344886
311;GRAND REX;ILE-DE-FRANCE;5 BD POISSONNIERE;75102;Paris 2e Arrondissement;21561;75;00851;Paris;10909327;01-Paris;7;4274;32;6 119;473 518;148 381;219,1;De 450 à 700 000 entrées;THEATRE LE REX;UGC;NON;NON;;FIXE;NON;C;127;82;78;16,7;66,8;10,9;5,6;5;8,1;10,1;48.86872;2.347608
321;PATHE;ILE-DE-FRANCE;32 RUE LOUIS LEGRAND;75102;Paris 2e Arrondissement;21561;75;00851;Paris;10909327;01-Paris;6;1138;32;5 513;181 402;123 537;46,8;De 150 à 200 000 entrées;GAUMONT;PATHE GAUMONT;NON;NON;;FIXE;NON;C;97;86;67;47,5;32,7;19,3;0,5;40;40,6;31,2;48.870632;2.334338
451;UGC MONTPARNASSE;ILE-DE-FRANCE;83 BD DU MONTPARNASSE;75106;Paris 6e Arrondissement;41384;75;00851;Paris;10909327;01-Paris;7;1592;32;7 027;190 458;124 223;53,3;De 150 à 200 000 entrées;UGC SAS;UGC;NON;NON;;FIXE;NON;C;81;74;74;46,7;37,3;16,0;0,0;18;26,2;28,5;48.84351;2.325646
481;GAUMONT PARNASSE;ILE-DE-FRANCE;3 RUE D'ODESSA;75114;Paris 14e Arrondissement;137574;75;00851;Paris;10909327;01-Paris;15;2876;32;17 318;475 104;283 901;67,3;De 450 à 700 000 entrées;PARAFRANCE COMMUNICATION;PATHE GAUMONT;NON;NON;;FIXE;OUI;C;219;199;195;47,2;35,8;14,9;2,1;85;34,1;28,4;48.843074;2.324424
