N° auto;nom;région administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unité urbaine;population unité urbaine;situation géographique;écrans;fauteuils;semaines d'activité;séances;entrées 2020;entrées 2019;évolution entrées;tranche d'entrées;propriétaire;programmateur;AE;catégorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmés;nombre de films inédits;nombre de films en semaine 1;PdM en entrées des films français;PdM en entrées des films américains;PdM en entrées des films européens;PdM en entrées des autres films;films Art et Essai;part des séances de films Art et Essai;PdM en entrées des films Art et Essai;latitude;longitude
12;UGC GEORGE V;ILE-DE-FRANCE;146 AVENUE DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;36694;75;00851;Paris;10706072;01-Paris;11;1666;11;5 033;81 917;412 142;-0,8;De 80 à 100 000 entrées;UGC SAS;UGC DIFFUSION;NON;NON;;FIXE;OUI;C;79;44;39;38,0;46,5;14,0;1,6;37;30,1;29,1;48.873073;2.298394
31;UGC NORMANDIE;ILE-DE-FRANCE;116 AVENUE DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;36694;75;00851;Paris;10706072;01-Paris;4;1610;31;3 360;75 648;202 673;-0,6;De 50 à 80 000 entrées;UGC SAS;UGC DIFFUSION;NON;NON;;FIXE;NON;C;80;47;39;41,1;36,0;19,2;3,7;43;57,6;52,8;48.872265;2.300938
35;BALZAC;ILE-DE-FRANCE;1 RUE BALZAC;75108;Paris 8e Arrondissement;36694;75;00851;Paris;10706072;01-Paris;3;589;29;2 389;45 293;118 069;-0,6;De 40 à 50 000 entrées;CINELBA;;OUI;A;RD;FIXE;NON;C;102;43;28;61,0;4,0;19,6;15,4;76;82,8;81,3;48.872431;2.299525
54;GAUMONT CHAMPS ELYSEES MARIGNAN;ILE-DE-FRANCE;27/33 AVENUE DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;36694;75;00851;Paris;10706072;01-Paris;6;1597;31;5 341;80 996;277 795;-0,7;De 80 à 100 000 entrées;LES CINEMAS PATHE GAUMONT;LES CINEMAS GAUMONT PATHE;NON;NON;;FIXE;NON;C;99;65;61;24,3;59,4;14,7;1,7;24;23,6;22,0;48.869654;2.306873
55;ELYSEES LINCOLN;ILE-DE-FRANCE;14 RUE LINCOLN;75108;Paris 8e Arrondissement;36694;75;00851;Paris;10706072;01-Paris;3;448;29;2 742;19 379;49 579;-0,6;De 10 à 20 000 entrées;STUDIO DU DRAGON;;OUI;A;RD;FIXE;NON;C;75;59;53;48,8;5,6;26,4;19,2;61;88,7;87,6;48.870512;2.303157
204; UGC OPERA;ILE-DE-FRANCE;32 BD DES ITALIENS;75109;Paris 9e Arrondissement;59408;75;00851;Paris;10706072;01-Paris;4;760;31;3 422;55 232;178 752;-0,7;De 50 à 80 000 entrées;UGC SAS;UGC DIFFUSION;NON;NON;;FIXE;NON;C;64;41;41;47,2;42,3;10,5;0,0;33;49,2;53,3;48.871332;2.335302
301;MAX LINDER;ILE-DE-FRANCE;24 BD POISSONNIERE;75109;Paris 9e Arrondissement;59408;75;00851;Paris;10706072;01-Paris;1;591;31;852;37 409;421 267;-0,9;De 30 à 40 000 entrées;PARAFRANCE COMMUNICATION;;OUI;A;;FIXE;NON;C;80;12;8;7,0;50,0;35,6;7,5;64;50,8;53,7;48.871363;2.344886
311;GRAND REX;ILE-DE-FRANCE;5 BD POISSONNIERE;75102;Paris 2e Arrondissement;20796;75;00851;Paris;10706072;01-Paris;7;4274;29;5 026;148 381;123 832;0,2;De 100 à 150 000 entrées;THEATRE LE REX;UGC DIFFUSION;NON;NON;;FIXE;NON;C;246;56;52;16,4;55,9;17,1;10,7;81;12,8;16,5;48.86872;2.347608
321;PATHE;ILE-DE-FRANCE;32 RUE LOUIS LEGRAND;75102;Paris 2e Arrondissement;20796;75;00851;Paris;10706072;01-Paris;6;1138;31;5 355;123 537;736 722;-0,8;De 100 à 150 000 entrées;GAUMONT;LES CINEMAS GAUMONT PATHE;NON;NON;;FIXE;NON;C;90;63;59;36,8;37,7;22,7;2,9;47;51,4;47,9;48.870632;2.334338
451;UGC MONTPARNASSE;ILE-DE-FRANCE;83 BD DU MONTPARNASSE;75106;Paris 6e Arrondissement;42428;75;00851;Paris;10706072;01-Paris;7;1592;31;6 061;124 223;356 071;-0,7;De 100 à 150 000 entrées;UGC SAS;UGC DIFFUSION;NON;NON;;FIXE;NON;C;101;68;63;43,6;38,3;15,7;2,4;45;35,1;39,6;48.84351;2.325646
481;GAUMONT PARNASSE;ILE-DE-FRANCE;3 RUE D'ODESSA;75114;Paris 14e Arrondissement;139992;75;00851;Paris;10706072;01-Paris;15;2876;31;14 053;283 901;409 922;-0,3;De 200 à 300 000 entrées;PARAFRANCE COMMUNICATION;LES CINEMAS GAUMONT PATHE;NON;NON;;FIXE;OUI;C;222;173;164;42,9;37,7;15,2;4,1;91;42,9;41,8;48.843074;2.324424
483;ENTREPOT;ILE-DE-FRANCE;7 ET 9 RUE FRANCIS DE PRESSENSE;75114;Paris 14e Arrondissement;139992;75;00851;Paris;10706072;01-Paris;3;250;31;2 211;19 479;963 224;-1,0;De 10 à 20 000 entrées;MANUFACTURE A FILMS;;OUI;A;RDJP;FIXE;NON;C;210;76;18;45,3;20,0;15,2;19,6;159;74,4;84,7;48.83393;2.31652
531;MK2 BEAUBOURG;ILE-DE-FRANCE;50 RUE RAMBUTEAU;75103;Paris 3e Arrondissement;35049;75;00851;Paris;10706072;01-Paris;6;557;31;7 786;129 665;35 866;2,6;De 100 à 150 000 entrées;MK2 CINEMAS;SA MK2 VISION;OUI;A;RDPR;FIXE;NON;C;98;68;61;55,9;13,7;10,6;19,8;80;84,3;89,6;48.861555;2.352217
612;UGC MAILLOT;ILE-DE-FRANCE;PALAIS CONGRES PL PORTE MAILLOT;75117;Paris 17e Arrondissement;168533;75;00851;Paris;10706072;01-Paris;4;764;31;3 134;50 265;305 715;-0,8;De 50 à 80 000 entrées;PARAFRANCE COMMUNICATION;UGC DIFFUSION;NON;NON;;FIXE;NON;C;95;64;45;52,6;29,8;14,4;3,1;57;54,3;54,3;48.878512;2.282965
721;MK2 ODEON COTE SAINT-MICHEL;ILE-DE-FRANCE;7 RUE HAUTEFEUILLE;75106;Paris 6e Arrondissement;42428;75;00851;Paris;10706072;01-Paris;4;510;31;4 851;60 802;169 342;-0,6;De 50 à 80 000 entrées;LES CINEMAS PATHE GAUMONT;SA MK2 VISION;OUI;A;RD;FIXE;NON;C;79;64;41;58,5;7,1;19,2;15,2;61;80,1;84,3;48.852188;2.342788
731;MK2 ODEON COTE SAINT-GERMAIN;ILE-DE-FRANCE;113 BD ST GERMAIN;75106;Paris 6e Arrondissement;42428;75;00851;Paris;10706072;01-Paris;5;678;31;5 946;101 335;145 188;-0,3;De 100 à 150 000 entrées;PARAFRANCE COMMUNICATION;SA MK2 VISION;NON;NON;;FIXE;NON;C;67;62;58;55,9;24,3;13,3;6,4;48;68,4;68,8;48.852437;2.338266
733;STUDIO GALANDE;ILE-DE-FRANCE;42 RUE GALANDE;75105;Paris 5e Arrondissement;59333;75;00851;Paris;10706072;01-Paris;1;97;29;631;7 337;272 449;-1,0;De 5 à 10 000 entrées;STUDIO GALANDE BERUCHET;;OUI;A;;FIXE;NON;C;107;58;5;42,1;15,9;36,5;5,5;81;81,0;83,9;48.851619;2.347076
741;LUXEMBOURG;ILE-DE-FRANCE;67 69 RUE MONSIEUR LE PRINCE;75106;Paris 6e Arrondissement;42428;75;00851;Paris;10706072;01-Paris;3;334;31;2 367;33 324;20 644;0,6;De 30 à 40 000 entrées;CINEPOQUE;;OUI;A;RD;FIXE;NON;C;157;50;18;50,5;20,4;16,9;12,2;131;88,3;91,2;48.84824;2.340797
751;ST ANDRE DES ARTS;ILE-DE-FRANCE;30 RUE ST ANDRE DES ARTS;75106;Paris 6e Arrondissement;42428;75;00851;Paris;10706072;01-Paris;3;510;29;2 935;18 589;77 832;-0,8;De 10 à 20 000 entrées;SOCIETE CINEMA SAINT ANDRE DES ARTS;;OUI;A;;FIXE;NON;C;163;56;28;64,8;10,4;9,0;15,8;117;68,0;60,0;48.853361;2.34211
801;MK2 PARNASSE;ILE-DE-FRANCE;11 RUE JULES CHAPLAIN;75106;Paris 6e Arrondissement;42428;75;00851;Paris;10706072;01-Paris;3;250;31;3 137;27 111;52 629;-0,5;De 20 à 30 000 entrées;MK2 CINEMAS;SA MK2 VISION;OUI;A;;FIXE;NON;C;149;84;2;48,8;18,0;5,4;27,8;126;73,7;80,9;48.842813;2.330525
802;UGC ROTONDE;ILE-DE-FRANCE;103 BD DU MONTPARNASSE;75106;Paris 6e Arrondissement;42428;75;00851;Paris;10706072;01-Paris;3;454;31;2 468;39 046;68 457;-0,4;De 30 à 40 000 entrées;UGC SAS;UGC DIFFUSION;NON;NON;;FIXE;NON;C;67;37;31;46,6;15,7;21,0;16,7;45;74,9;77,9;48.842318;2.328975
803;BRETAGNE;ILE-DE-FRANCE;73 BD DU MONTPARNASSE;75106;Paris 6e Arrondissement;42428;75;00851;Paris;10706072;01-Paris;2;1020;28;1 643;10 222;111 149;-0,9;De 10 à 20 000 entrées;CINEMAS RYTMANN SAS;;NON;NON;;FIXE;NON;C;23;10;9;0,0;76,7;20,2;3,2;7;21,3;25,2;48.843752;2.324925
814;LUCERNAIRE FORUM;ILE-DE-FRANCE;53 RUE NOTRE DAME DES CHAMPS;75106;Paris 6e Arrondissement;42428;75;00851;Paris;10706072;01-Paris;3;148;21;1 660;17 790;46 984;-0,6;De 10 à 20 000 entrées;LE LUCERNAIRE FORUM;;OUI;A;JP;FIXE;NON;C;110;46;10;43,0;19,1;18,7;19,2;92;81,4;82,3;48.844244;2.330407
821;PARNASSIEN;ILE-DE-FRANCE;98 BD DU MONTPARNASSE;75114;Paris 14e Arrondissement;139992;75;00851;Paris;10706072;01-Paris;7;842;15;3 772;55 381;45 652;0,2;De 50 à 80 000 entrées;LES CINQ PARNASSIENS;;OUI;A;RD;FIXE;NON;C;78;47;44;73,7;6,6;15,7;4,0;62;97,5;87,9;48.842443;2.327625
883; CHRISTINE CINEMA CLUB;ILE-DE-FRANCE;4 RUE CHRISTINE;75106;Paris 6e Arrondissement;42428;75;00851;Paris;10706072;01-Paris;2;234;30;1 719;30 183;232 842;-0,9;De 30 à 40 000 entrées;TRIOMPH CINEMA;;OUI;A;PR;FIXE;NON;C;242;5;2;8,2;74,8;15,2;1,7;223;92,4;90,5;48.854455;2.340132
891;ST GERMAIN DES PRES;ILE-DE-FRANCE;22 RUE GUILLAUME APOLLINAIRE;75106;Paris 6e Arrondissement;42428;75;00851;Paris;10706072;01-Paris;1;252;11;250;5 017;56 566;-0,9;De 5 à 10 000 entrées;CINEMA LE BILBOQUET;;OUI;A;;FIXE;NON;C;31;11;0;58,8;8,3;10,8;22,0;25;80,0;76,9;48.85467;2.333052
1031;PUBLICIS ELYSEES;ILE-DE-FRANCE;133 AV DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;36694;75;00851;Paris;10706072;01-Paris;2;609;29;1 852;19 663;15 366;0,3;De 10 à 20 000 entrées;EUROPALACES ETOILE;;NON;NON;;FIXE;NON;C;108;63;26;36,3;35,6;9,7;18,5;52;58,6;55,0;48.872794;2.296984
1392;L'ARCHIPEL;ILE-DE-FRANCE;17 BD DE STRASBOURG;75110;Paris 10e Arrondissement;91770;75;00851;Paris;10706072;01-Paris;2;204;18;848;12 905;53 875;-0,8;De 10 à 20 000 entrées;PARIS CINE;;OUI;A;RDJPPR;FIXE;NON;C;122;36;1;64,1;10,4;11,7;13,8;109;86,1;95,1;48.870455;2.35466
1393;LE BRADY;ILE-DE-FRANCE;39 BOULEVARD DE STRASBOURG;75110;Paris 10e Arrondissement;91770;75;00851;Paris;10706072;01-Paris;2;139;31;2 785;34 632;3 631;8,5;De 30 à 40 000 entrées;SOCIETE THEATRE LE BRADY;;OUI;A;RDJPPR;FIXE;NON;C;234;60;1;46,5;15,9;16,1;21,5;174;78,9;84,7;48.871771;2.355398
1681;UGC CINE CITE LES HALLES;ILE-DE-FRANCE;101 RUE BERGER;75101;Paris 1er Arrondissement;16545;75;00851;Paris;10706072;01-Paris;27;3894;31;36 212;1 082 659;36 968;28,3;De 1 à 1,5 million d'entrées;UGC CINE CITE ILE DE FRANCE;UGC DIFFUSION;NON;NON;;FIXE;OUI;C;372;221;217;39,0;37,7;14,6;8,8;207;52,8;50,5;48.861424;2.345829
1791;LUMINOR HOTEL DE VILLE;ILE-DE-FRANCE;20 RUE DU TEMPLE;75104;Paris 4e Arrondissement;27146;75;00851;Paris;10706072;01-Paris;2;238;30;1 713;33 837;73 963;-0,5;De 30 à 40 000 entrées;CARLOTTA CINEMAS;;OUI;A;RDJP;FIXE;NON;C;147;43;17;38,1;18,9;12,6;30,4;104;66,4;78,8;48.858689;2.353591
2251;MAJESTIC PASSY;ILE-DE-FRANCE;18 - 20 RUE DE PASSY;75116;Paris 16e Arrondissement;165487;75;00851;Paris;10706072;01-Paris;3;617;29;2 581;42 641;3 012 613;-1,0;De 40 à 50 000 entrées;LES ECRANS DE PARIS;;NON;NON;;FIXE;NON;C;101;51;28;50,8;39,3;7,1;2,8;64;55,4;63,8;48.858204;2.282104
2543;MAC MAHON;ILE-DE-FRANCE;5/7 AV MAC MAHON;75117;Paris 17e Arrondissement;168533;75;00851;Paris;10706072;01-Paris;1;137;10;187;3 846;86 030;-1,0;De 2 à 5 000 entrées;CINEMA MAC MAHON;;NON;NON;;FIXE;NON;C;15;0;0;45,5;28,9;24,6;1,0;15;100,0;100,0;48.875715;2.294655
2982;CAUMARTIN;ILE-DE-FRANCE;101 RUE ST LAZARE;75109;Paris 9e Arrondissement;59408;75;00851;Paris;10706072;01-Paris;5;501;29;4 853;78 870;154 753;-0,5;De 50 à 80 000 entrées;CINEVOG SARL;;OUI;A;;FIXE;NON;C;74;67;65;64,6;12,7;17,5;5,2;59;85,5;78,7;48.87561;2.32791
3211;LE CINEMA DES CINEASTES;ILE-DE-FRANCE;7 AVENUE DE CLICHY;75117;Paris 17e Arrondissement;168533;75;00851;Paris;10706072;01-Paris;3;478;31;2 657;70 514;15 631;3,5;De 50 à 80 000 entrées;SARL DES AUTEURS REALISATEURS PRODUCTEURS ARP;SARL MC4 DISTRIBUTION;OUI;A;RDJP;FIXE;NON;C;86;41;36;65,4;9,4;17,0;8,1;73;86,1;87,7;48.884303;2.326888
3222;PATHE WEPLER;ILE-DE-FRANCE;132 -140 BOULEVARD DE CLICHY;75118;Paris 18e Arrondissement;197580;75;00851;Paris;10706072;01-Paris;11;2077;31;10 695;255 340;213 401;0,2;De 200 à 300 000 entrées;LES CINEMAS PATHE GAUMONT;LES CINEMAS GAUMONT PATHE;NON;NON;;FIXE;OUI;C;192;120;108;42,2;40,6;14,5;2,6;57;33,5;34,5;48.883938;2.328034
3741;STUDIO 28;ILE-DE-FRANCE;10 RUE THOLOZE;75118;Paris 18e Arrondissement;197580;75;00851;Paris;10706072;01-Paris;1;172;21;559;18 127;178 817;-0,9;De 10 à 20 000 entrées;STUDIO 28;;OUI;A;;FIXE;NON;C;104;69;0;48,6;35,3;8,5;7,6;70;68,3;70,9;48.886142;2.335342
4731;MK2 QUAI DE SEINE;ILE-DE-FRANCE;14 QUAI DE LA SEINE;75119;Paris 19e Arrondissement;185654;75;00851;Paris;10706072;01-Paris;6;992;31;7 384;172 475;693 746;-0,8;De 150 à 200 000 entrées;MK2 QUAI DE SEINE;SA MK2 VISION;OUI;A;RDJP;FIXE;NON;C;127;97;70;58,3;19,8;12,3;9,6;90;76,5;78,3;48.885073;2.371493
5691;MK2 GAMBETTA;ILE-DE-FRANCE;6 RUE BELGRAND;75120;Paris 20e Arrondissement;195556;75;00851;Paris;10706072;01-Paris;6;1140;31;7 166;144 054;52 483;1,7;De 100 à 150 000 entrées;MK2 CINEMAS;SA MK2 VISION;NON;NON;;FIXE;NON;C;141;77;55;49,8;32,6;13,1;4,5;95;64,7;66,4;48.864763;2.399555
5841;MK2 BASTILLE COTE FAUBOURG SAINT-ANTOINE;ILE-DE-FRANCE;5 RUE DU FAUBOURG ST ANTOINE;75111;Paris 11e Arrondissement;149834;75;00851;Paris;10706072;01-Paris;3;423;31;3 632;78 853;7 865;9,0;De 50 à 80 000 entrées;BASTILLE SAINT ANTOINE (DOUBLON N° 95 7200);SA MK2 VISION;OUI;A;RD;FIXE;NON;C;51;39;29;74,6;4,9;14,4;6,0;38;88,9;90,5;48.853157;2.370719
5852;MAJESTIC BASTILLE;ILE-DE-FRANCE;4 BD RICHARD LENOIR;75111;Paris 11e Arrondissement;149834;75;00851;Paris;10706072;01-Paris;2;356;31;2 035;40 402;433 102;-0,9;De 40 à 50 000 entrées;LES ECRANS DE PARIS;;OUI;A;RDJP;FIXE;NON;C;110;43;28;44,8;29,1;17,8;8,2;82;85,0;84,8;48.860238;2.37214
5861;MK2 BASTILLE COTE BEAUMARCHAIS;ILE-DE-FRANCE;3 BD R LENOIR 4/6 BD BEAUMARCHAI;75111;Paris 11e Arrondissement;149834;75;00851;Paris;10706072;01-Paris;4;469;31;4 705;94 158;411 805;-0,8;De 80 à 100 000 entrées;MK2 CINEMAS;SA MK2 VISION;OUI;A;RDJP;FIXE;NON;C;73;55;40;44,0;23,3;22,5;10,2;53;68,7;68,9;48.854674;2.369381
6212;MK2 NATION;ILE-DE-FRANCE;133 BOULEVARD DIDEROT;75112;Paris 12e Arrondissement;142340;75;00851;Paris;10706072;01-Paris;6;551;31;7 887;131 257;184 006;-0,3;De 100 à 150 000 entrées;MK2 CINEMAS;SA MK2 VISION;NON;NON;;FIXE;NON;C;96;77;52;54,2;31,4;12,8;1,6;59;52,5;53,5;48.848213;2.39311
6531;UGC LYON BASTILLE;ILE-DE-FRANCE;12 RUE DE LYON;75112;Paris 12e Arrondissement;142340;75;00851;Paris;10706072;01-Paris;7;1274;31;5 746;84 853;112 149;-0,2;De 80 à 100 000 entrées;UGC SAS;UGC DIFFUSION;NON;NON;;FIXE;NON;C;123;74;70;49,2;43,1;5,8;1,9;46;18,4;16,0;48.847502;2.371855
6611;UGC CINE CITE BERCY;ILE-DE-FRANCE;2 COUR SAINT-EMILION;75112;Paris 12e Arrondissement;142340;75;00851;Paris;10706072;01-Paris;18;4440;31;17 459;496 865;274 823;0,8;De 450 à 700 000 entrées;UGC CINE CITE ILE DE FRANCE;UGC DIFFUSION;NON;NON;;FIXE;OUI;C;264;158;157;35,2;45,8;14,4;4,6;129;37,1;32,8;48.833595;2.38604
7231;CHAPLIN SAINT LAMBERT;ILE-DE-FRANCE;6 RUE PECLET;75115;Paris 15e Arrondissement;234994;75;00851;Paris;10706072;01-Paris;3;363;30;2 923;38 484;42 191;-0,1;De 30 à 40 000 entrées;CINEMA CHAPLIN;;OUI;A;JP;FIXE;NON;C;208;108;1;57,8;25,0;10,2;6,9;145;61,6;70,8;48.843204;2.298558
7394;GAUMONT CONVENTION;ILE-DE-FRANCE;27 RUE ALAIN CHARTIER;75115;Paris 15e Arrondissement;234994;75;00851;Paris;10706072;01-Paris;9;1263;31;8 274;174 210;307 651;-0,4;De 150 à 200 000 entrées;GAUMONT;LES CINEMAS GAUMONT PATHE;NON;NON;;FIXE;OUI;C;141;109;94;53,7;25,2;18,0;3,1;77;62,8;61,4;48.837759;2.296259
7491;GAUMONT AQUABOULEVARD;ILE-DE-FRANCE;8/16 RUE DU COLONEL PIERRE AVIA;75115;Paris 15e Arrondissement;234994;75;00851;Paris;10706072;01-Paris;14;2583;31;12 231;197 201;1 758 521;-0,9;De 150 à 200 000 entrées;GAUMONT;LES CINEMAS GAUMONT PATHE;NON;NON;;FIXE;OUI;C;215;128;114;28,6;56,8;10,7;3,9;56;20,1;15,1;48.830408;2.276322
7711;GAUMONT MONTPARNOS;ILE-DE-FRANCE;16 18 RUE D ODESSA;75114;Paris 14e Arrondissement;139992;75;00851;Paris;10706072;01-Paris;4;397;31;3 640;56 355;88 034;-0,4;De 50 à 80 000 entrées;CINEMAS RYTMANN SAS;LES CINEMAS GAUMONT PATHE;NON;NON;;FIXE;NON;C;86;74;25;53,1;29,6;9,2;8,1;48;66,1;62,9;48.841914;2.324596
8132;GAUMONT ALESIA;ILE-DE-FRANCE;73 AVENUE DU GENERAL LECLERC;75114;Paris 14e Arrondissement;139992;75;00851;Paris;10706072;01-Paris;8;1384;31;7 412;164 857;529 754;-0,7;De 150 à 200 000 entrées;GAUMONT;LES CINEMAS GAUMONT PATHE;NON;NON;;FIXE;OUI;C;151;97;79;39,6;46,3;12,8;1,3;59;33,2;33,4;48.828166;2.327463
8161; CHAPLIN DENFERT;ILE-DE-FRANCE;24 PLACE DENFERT ROCHEREAU;75114;Paris 14e Arrondissement;139992;75;00851;Paris;10706072;01-Paris;1;133;29;881;14 844;695 177;-1,0;De 10 à 20 000 entrées;SOCIETE D'EXPLOITATION DU THEATRE DENFERT ROCHEREAU;;OUI;A;JP;FIXE;NON;C;130;49;0;59,1;21,8;11,8;7,2;89;59,4;72,9;48.833879;2.330976
8291;L ARLEQUIN PANORAMA;ILE-DE-FRANCE;76 RUE DE RENNES;75106;Paris 6e Arrondissement;42428;75;00851;Paris;10706072;01-Paris;3;595;30;2 495;49 941;151 155;-0,7;De 40 à 50 000 entrées;LES ECRANS DE PARIS;;OUI;A;RDPR;FIXE;NON;C;120;35;29;52,9;14,5;27,7;5,0;74;86,2;79,7;48.851278;2.330648
8331;UGC DANTON;ILE-DE-FRANCE;99 BD ST GERMAIN;75106;Paris 6e Arrondissement;42428;75;00851;Paris;10706072;01-Paris;4;684;31;3 877;70 774;512 221;-0,9;De 50 à 80 000 entrées;UGC SAS;UGC DIFFUSION;NON;NON;;FIXE;NON;C;61;55;37;49,7;29,1;14,5;6,7;33;61,6;63,6;48.852138;2.338995
8341;NOUVEL ODEON;ILE-DE-FRANCE;6 RUE DE L ECOLE DE MEDECINE;75106;Paris 6e Arrondissement;42428;75;00851;Paris;10706072;01-Paris;1;119;28;819;14 474;36 427;-0,6;De 10 à 20 000 entrées;CINEDEVIL;SARL EXHANTHUS;OUI;A;RDJP;FIXE;NON;C;86;20;1;72,3;14,1;5,9;7,7;79;91,6;95,9;48.850764;2.341747
8353;UGC ODEON;ILE-DE-FRANCE;124 BD ST GERMAIN;75106;Paris 6e Arrondissement;42428;75;00851;Paris;10706072;01-Paris;5;722;31;4 883;85 435;144 823;-0,4;De 80 à 100 000 entrées;UGC SAS;UGC DIFFUSION;NON;NON;;FIXE;NON;C;110;67;49;53,8;20,8;17,7;7,7;69;58,4;59,0;48.852353;2.339834
8361;ESPACE SAINT MICHEL;ILE-DE-FRANCE;7 PLACE ST MICHEL;75105;Paris 5e Arrondissement;59333;75;00851;Paris;10706072;01-Paris;2;210;24;1 888;20 163;230 842;-0,9;De 20 à 30 000 entrées;SOCIETE DE DIFFUSION AUDIOVISUELLE;;OUI;A;RD;FIXE;NON;C;33;22;21;40,1;7,9;38,3;13,7;26;90,8;93,6;48.853093;2.344228
8374;ECOLES CINEMA CLUB;ILE-DE-FRANCE;23 RUE DES ECOLES;75105;Paris 5e Arrondissement;59333;75;00851;Paris;10706072;01-Paris;2;200;31;1 853;28 076;31 750;-0,1;De 20 à 30 000 entrées;CINELUX;;OUI;A;PR;FIXE;NON;C;294;4;1;35,7;51,7;11,0;1,5;224;77,5;74,2;48.848384;2.348973
8391;LE CINEMA DU PANTHEON;ILE-DE-FRANCE;13 RUE VICTOR COUSIN;75105;Paris 5e Arrondissement;59333;75;00851;Paris;10706072;01-Paris;1;200;30;972;17 171;252 265;-0,9;De 10 à 20 000 entrées;LES FILMS DE LA GARENNE;;OUI;A;RD;FIXE;NON;C;46;9;2;90,8;5,0;2,1;2,0;39;74,5;95,4;48.847502;2.342301
8422;LE CHAMPO;ILE-DE-FRANCE;51 RUE DES ECOLES;75105;Paris 5e Arrondissement;59333;75;00851;Paris;10706072;01-Paris;2;240;31;1 904;41 281;47 744;-0,1;De 40 à 50 000 entrées;SOCIETE D'EXPLOITATION DU CHAMPOLLION STUDIO DES ECOLES;;OUI;A;PR;FIXE;NON;C;99;8;1;29,6;21,0;27,8;21,6;87;89,8;92,4;48.849983;2.343211
8425;QUARTIER LATIN I;ILE-DE-FRANCE;9 RUE CHAMPOLLION;75105;Paris 5e Arrondissement;59333;75;00851;Paris;10706072;01-Paris;2;164;31;2 008;55 838;33 370;0,7;De 50 à 80 000 entrées;CINE SORBONNE;;OUI;A;PR;FIXE;NON;C;356;2;0;9,3;67,0;11,1;12,6;326;83,1;88,1;48.849504;2.342788
8451;STUDIO DES URSULINES;ILE-DE-FRANCE;10 RUE DES URSULINES;75105;Paris 5e Arrondissement;59333;75;00851;Paris;10706072;01-Paris;1;122;27;682;11 615;23 061;-0,5;De 10 à 20 000 entrées;SARL DES AUTEURS REALISATEURS PRODUCTEURS ARP;;OUI;A;JPPR;FIXE;NON;C;67;8;7;50,5;12,2;19,9;17,4;49;44,4;80,4;48.842733;2.342044
8513;REFLET MEDICIS 2;ILE-DE-FRANCE;7 RUE CHAMPOLLION;75105;Paris 5e Arrondissement;59333;75;00851;Paris;10706072;01-Paris;3;372;31;2 476;47 300;6 143;6,7;De 40 à 50 000 entrées;LES ECRANS DE PARIS;;OUI;A;RDPR;FIXE;NON;C;177;20;15;36,7;7,5;34,2;21,6;130;74,0;77,0;48.849591;2.342836
8514;EPEE DE BOIS;ILE-DE-FRANCE;100 RUE MOUFFETARD;75105;Paris 5e Arrondissement;59333;75;00851;Paris;10706072;01-Paris;2;140;31;1 842;19 746;103 248;-0,8;De 10 à 20 000 entrées;STUDIO 43;;OUI;A;;FIXE;NON;C;99;60;0;66,8;13,4;7,1;12,7;79;81,3;87,1;48.841535;2.34958
8531;LE GRAND ACTION;ILE-DE-FRANCE;5 RUE DES ECOLES;75105;Paris 5e Arrondissement;59333;75;00851;Paris;10706072;01-Paris;2;346;31;1 621;25 325;102 958;-0,8;De 20 à 30 000 entrées;ACTION RIVE GAUCHE;;OUI;A;PR;FIXE;NON;C;167;14;11;20,9;53,7;19,1;6,4;129;81,7;83,4;48.847537;2.352122
8621;LES FAUVETTES;ILE-DE-FRANCE;58 AVENUE DES GOBELINS;75113;Paris 13e Arrondissement;183216;75;00851;Paris;10706072;01-Paris;5;645;31;4 719;55 439;27 165;1,0;De 50 à 80 000 entrées;GAUMONT;LES CINEMAS GAUMONT PATHE;NON;NON;;FIXE;NON;C;94;59;55;46,1;33,5;13,3;7,1;38;49,4;53,9;48.833574;2.353775
8632;UGC  GOBELINS;ILE-DE-FRANCE;66 BIS AV DES GOBELINS;75113;Paris 13e Arrondissement;183216;75;00851;Paris;10706072;01-Paris;11;1138;31;9 405;170 162;100 495;0,7;De 150 à 200 000 entrées;UGC SAS;UGC DIFFUSION;NON;NON;;FIXE;OUI;C;226;135;119;50,4;31,4;12,4;5,8;124;49,9;50,8;48.832888;2.354241
8661;ESCURIAL;ILE-DE-FRANCE;11 BD PORT ROYAL;75113;Paris 13e Arrondissement;183216;75;00851;Paris;10706072;01-Paris;2;329;24;1 644;30 666;36 774;-0,2;De 30 à 40 000 entrées;LES ECRANS DE PARIS;;OUI;A;RDJP;FIXE;NON;C;100;44;25;63,9;11,2;21,8;3,1;88;86,3;86,1;48.836817;2.349632
9351;MK2 GRAND PALAIS;ILE-DE-FRANCE;COURS LA REINE PORTE C;75108;Paris 8e Arrondissement;36694;75;00851;Paris;10706072;01-Paris;1;104;13;305;4 649;56 639;-0,9;De 2 à 5 000 entrées;MK2 CINEMAS;SA MK2 VISION;NON;NON;;FIXE;NON;C;10;4;0;79,4;15,4;2,1;3,1;9;85,2;86,0;48.8649;2.314116
