N° auto;nom;région administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unité urbaine;population unité urbaine;situation géographique;écrans;fauteuils;semaines d'activité;séances;entrées 2020;entrées 2019;évolution entrées;tranche d'entrées;propriétaire;programmateur;AE;catégorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmés;nombre de films inédits;nombre de films en semaine 1;PdM en entrées des films français;PdM en entrées des films américains;PdM en entrées des films européens;PdM en entrées des autres films;films Art et Essai;part des séances de films Art et Essai;PdM en entrées des films Art et Essai;latitude;longitude
250935;JEAN RENOIR;PROVENCE-ALPES-COTE D'AZUR;ALLEE JEAN RENOIR;13056;Martigues;49403;13;00759;Marseille - Aix-en-Provence;1585498;04-Unités urbaines de 100 000 hbts ou plus;1;166;31;878;11 501;4 043;1,8;De 10 à 20 000 entrées;ASSOCIATION CINEMA RENOIR;;OUI;C;RDJPPR;FIXE;NON;B;128;73;6;48,9;37,7;10,6;2,8;102;31,0;29,5;43.410526;5.052683
251251;TRIANON;OCCITANIE;4 RUE PAUL MENDRAS;48092;Marvejols;4841;48;48201;Marvejols;6066;06-autres communes et unités urbaines;1;177;29;492;4 754;36 188;-0,9;De 2 à 5 000 entrées;TRIANON CINEMA;;OUI;E;JP;FIXE;NON;C;76;62;0;48,4;34,2;13,5;4,0;24;41,9;47,0;44.551614;3.291609
251922;SALLE NOTRE-DAME;OCCITANIE;QUARTIER CHANTEGRENOUILLE;32242;Masseube;1518;32;00000;Zone rurale;14541106;04-Unités urbaines de 100 000 hbts ou plus;1;153;29;247;3 513;133 741;-1,0;De 2 à 5 000 entrées;LA SOCIETE DES AMIS DU CINEMA INDEPENDANT;SNC SAGEC - CINE 32 VEO;OUI;E;;FIXE;NON;R;160;111;11;54,3;32,7;9,3;3,7;79;37,8;31,0;43.42733;0.576514
252134;CINEMASSY;ILE-DE-FRANCE;PLACE DE FRANCE;91377;Massy;48363;91;00851;Paris;10706072;03-Petite couronne;3;417;31;2 115;14 057;9 870;0,4;De 10 à 20 000 entrées;CINEMASSY;;OUI;C;;FIXE;NON;B;190;125;30;57,6;33,0;5,7;3,7;151;40,6;43,3;48.732679;2.288638
252212;LE FORUM;NOUVELLE AQUITAINE;RUE DES DOUVES;17224;Matha;2175;17;17101;Matha;2175;06-autres communes et unités urbaines;1;154;28;145;1 897;212 268;-1,0;Moins de 2000 entrées;OFFICE MUNICIPAL DES SPORTS LOISIRS CULTURE ANIMATION;SNC SAGEC - CINE 32 VEO;NON;NON;;FIXE;NON;I;91;75;0;67,2;19,2;11,1;2,5;50;29,7;27,6;45.868856;-0.320748
252342;CINEMATOUR;BOURGOGNE / FRANCHE-COMTE;CINEMATOUR;71289;Matour;1068;71;00000;Zone rurale;14541106;04-Unités urbaines de 100 000 hbts ou plus;1;199;28;104;2 200;95 133;-1,0;De 2 à 5 000 entrées;COMMUNE DE MATOUR;;NON;NON;;FIXE;NON;R;82;60;0;52,1;30,7;13,0;4,2;34;26,7;29,9;46.306676;4.481344
252701;CINE CASTEL;NOUVELLE AQUITAINE;9 RUE DU CHÂTEAU;79079;Mauléon;8479;79;79205;Mauléon;8479;06-autres communes et unités urbaines;1;269;25;147;1 706;7 054;-0,8;Moins de 2000 entrées;ASSOCIATION LES TRINITAIRES DE MAULEON;SNC SAGEC - CINE 32 VEO;OUI;E;;FIXE;NON;I;56;44;0;66,5;23,7;7,6;2,2;17;33,9;34,1;46.9250409;-0.7596104000000423
252712;LES 2 SCENES;ILE-DE-FRANCE;PLACE HENRI DUNANT;78380;Maule;5800;78;78301;Maule;10150;03-Petite couronne;1;102;28;715;9 987;30 648;-0,7;De 5 à 10 000 entrées;COMMUNAUTE DE COMMUNES DE GALLY-MAULDRE;SARL GPCI;OUI;E;RDJPPR;FIXE;NON;C;123;99;0;59,0;31,4;4,0;5,6;65;41,2;38,4;48.916554;1.821165
252742;MAULE BAITHA;NOUVELLE AQUITAINE;15 RUE ARNAUD DE MAYTIE;64371;Mauléon-Licharre;2969;64;64204;Mauléon-Licharre;6395;06-autres communes et unités urbaines;2;416;30;635;6 602;3 140;1,1;De 5 à 10 000 entrées;ASSOCIATION MAULE BAITHA;SAINT LOUIS;OUI;E;RDJP;FIXE;NON;C;196;157;29;48,8;38,6;10,3;2,4;96;40,9;34,7;43.221421;-0.889467
252991;L AURORE;BRETAGNE;5 RUE DU FRERE CYPRIEN;35168;Val d'Anast;3908;35;00000;Zone rurale;14541106;04-Unités urbaines de 100 000 hbts ou plus;1;173;28;119;2 248;27 545;-0,9;De 2 à 5 000 entrées;L'AURORE;SAS CINE DIFFUSION;OUI;E;;FIXE;NON;R;83;61;0;61,0;28,4;5,3;5,3;27;39,2;32,1;47.891029;-1.991909
