N° auto;nom;région administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unité urbaine;population unité urbaine;situation géographique;écrans;fauteuils;semaines d'activité;séances;entrées 2018;entrées 2017;évolution entrées;tranche d'entrées;propriétaire;programmateur;AE;catégorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmés;nombre de films inédits;nombre de films en semaine 1;PdM en entrées des films français;PdM en entrées des films américains;PdM en entrées des films européens;PdM en entrées des autres films;films Art et Essai;part des séances de films Art et Essai;PdM en entrées des films Art et Essai;latitude;longitude
12;GEORGE V;ILE-DE-FRANCE;146 AVENUE DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;36694;75;851;Paris;10706072;Paris;11;1666;53;24 370;436 900;510 639;-14,40%;De 300 à 450 000 entrées;UGC;UGC;non;non classé;;FIXE;OUI;commune-centre;248;211;165;41,7;38,5;18,6;1,3;95;32;32,7;48.873073;2.298394
31;UGC NORMANDIE;ILE-DE-FRANCE;116 AVENUE DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;36694;75;851;Paris;10706072;Paris;4;1610;53;8 060;227 948;256 387;-11,10%;De 200 à 300 000 entrées;UGC;UGC;non;non classé;;FIXE;NON;commune-centre;93;86;77;35;41,3;21;2,7;50;57,1;48,7;48.872265;2.300938
35;BALZAC;ILE-DE-FRANCE;1 RUE BALZAC;75108;Paris 8e Arrondissement;36694;75;851;Paris;10706072;Paris;3;589;53;4 624;107 868;116 603;-7,50%;De 100 à 150 000 entrées;CINELBA (Henochsberg à 50 %);;oui;catégorie A;RD;FIXE;NON;commune-centre;169;65;52;57,6;8,5;12,9;21;123;95,7;94,4;48.872431;2.299525
54;GAUMONT CHAMPS ELYSEES MARIGNAN;ILE-DE-FRANCE;27/33 AVENUE DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;36694;75;851;Paris;10706072;Paris;6;1701;53;12 116;277 363;326 707;-15,10%;De 200 à 300 000 entrées;Les cinemas GAUMONT-PATHE;Les cinémas Gaumont-Pathé;non;non classé;;FIXE;NON;commune-centre;144;107;97;20,4;65,9;12,8;0,9;24;12,9;11,8;48.869654;2.306873
55;ELYSEES LINCOLN;ILE-DE-FRANCE;14 RUE LINCOLN;75108;Paris 8e Arrondissement;36694;75;851;Paris;10706072;Paris;3;448;53;5 582;53 665;57 077;-6,00%;De 50 à 80 000 entrées;MULTICINE;;oui;catégorie A;RD;FIXE;NON;commune-centre;146;96;82;41,7;7,3;19,4;31,6;113;94,3;94,7;48.870512;2.303157
202;  GAUMONT OPERA  FRANCAIS;ILE-DE-FRANCE;38 BD DES ITALIENS;75109;Paris 9e Arrondissement;59408;75;851;Paris;10706072;Paris;5;994;46;8 741;177 634;240 660;-26,20%;De 150 à 200 000 entrées;Les cinemas GAUMONT-PATHE;Les cinémas Gaumont-Pathé;non;non classé;;FIXE;NON;commune-centre;147;134;79;85,3;6,3;6,7;1,7;72;48;42;48.871048;2.334386
204; UGC OPERA;ILE-DE-FRANCE;32 BD DES ITALIENS;75109;Paris 9e Arrondissement;59408;75;851;Paris;10706072;Paris;4;760;53;7 439;168 084;181 750;-7,50%;De 150 à 200 000 entrées;UGC;UGC;non;non classé;;FIXE;NON;commune-centre;110;71;71;37,5;40,6;20,4;1,5;61;41,9;43;48.871332;2.335302
214;GAUMONT OPERA CAPUCINES;ILE-DE-FRANCE;2/4 BOULEVARD DES CAPUCINES;75109;Paris 9e Arrondissement;59408;75;851;Paris;10706072;Paris;7;2169;53;14 664;502 385;537 993;-6,60%;De 450 à 700 000 entrées;Les cinemas GAUMONT-PATHE;Les cinémas Gaumont-Pathé;non;non classé;;FIXE;NON;commune-centre;216;190;107;18,6;60,4;20,2;0,8;78;15,7;13,1;48.871044;2.33361
301;MAX LINDER;ILE-DE-FRANCE;24 BD POISSONNIERE;75109;Paris 9e Arrondissement;59408;75;851;Paris;10706072;Paris;1;591;52;1 510;97 343;116 133;-16,20%;De 80 à 100 000 entrées;EDEN PLUS;;non;non classé;;FIXE;NON;commune-centre;119;26;15;18,1;48,9;24,7;8,3;70;64,8;64,2;48.871363;2.344886
311;GRAND REX;ILE-DE-FRANCE;5 BD POISSONNIERE;75102;Paris 2e Arrondissement;20796;75;851;Paris;10706072;Paris;7;4274;53;12 079;624 717;636 078;-1,80%;De 450 à 700 000 entrées;THEATRE LE REX;UGC;non;non classé;;FIXE;NON;commune-centre;191;116;108;10,4;69,9;16,2;3,6;18;3,7;2,5;48.86872;2.347608
321;GAUMONT OPERA PREMIER;ILE-DE-FRANCE;32 RUE LOUIS LEGRAND;75102;Paris 2e Arrondissement;20796;75;851;Paris;10706072;Paris;6;1138;53;11 837;299 603;309 708;-3,30%;De 200 à 300 000 entrées;Les cinemas GAUMONT-PATHE;Les cinémas Gaumont-Pathé;non;non classé;;FIXE;NON;commune-centre;212;186;133;38;27;25,1;9,9;132;75,6;75,1;48.870632;2.334338
451;UGC MONTPARNASSE;ILE-DE-FRANCE;83 BD DU MONTPARNASSE;75106;Paris 6e Arrondissement;42428;75;851;Paris;10706072;Paris;7;1592;53;14 006;426 973;474 927;-10,10%;De 300 à 450 000 entrées;UGC;UGC;non;non classé;;FIXE;NON;commune-centre;152;121;114;34,7;47,6;17,5;0,2;49;23,1;25,8;48.84351;2.325646
481;GAUMONT PARNASSE;ILE-DE-FRANCE;3 RUE D'ODESSA;75114;Paris 14e Arrondissement;139992;75;851;Paris;10706072;Paris;15;2876;53;32 407;937 498;974 363;-3,80%;De 700 000 à 1 million d'entrées;Les cinemas GAUMONT-PATHE;Les cinémas Gaumont-Pathé;non;non classé;;FIXE;OUI;commune-centre;343;307;299;36,9;43,4;17,6;2,1;137;33,8;32,2;48.843074;2.324424
483;ENTREPOT;ILE-DE-FRANCE;7 ET 9 RUE FRANCIS DE PRESSENSE;75114;Paris 14e Arrondissement;139992;75;851;Paris;10706072;Paris;3;250;53;4 582;31 244;40 039;-22,00%;De 30 à 40 000 entrées;L'ENTREPOT;;oui;catégorie A;RDJPPR;FIXE;NON;commune-centre;305;104;5;70,7;5,5;17,6;6,2;252;88,9;92,4;48.83393;2.31652
