N° auto;nom;région administrative;adresse;code INSEE;commune;population de la commune;DEP;N°UU;unité urbaine;population unité urbaine;situation géographique;écrans;fauteuils;semaines d'activité;séances;entrées 2018;entrées 2017;évolution entrées;tranche d'entrées;propriétaire;programmateur;AE;catégorie Art et Essai;label Art et Essai;genre;multiplexe;zone de la commune;nombre de films programmés;nombre de films inédits;nombre de films en semaine 1;PdM en entrées des films français;PdM en entrées des films américains;PdM en entrées des films européens;PdM en entrées des autres films;films Art et Essai;part des séances de films Art et Essai;PdM en entrées des films Art et Essai;latitude;longitude
531;MK2 BEAUBOURG;ILE-DE-FRANCE;50 RUE RAMBUTEAU;75103;Paris 3e Arrondissement;35049;75;851;Paris;10706072;Paris;6;557;53;13 892;289 481;308 078;-6,00%;De 200 à 300 000 entrées;MK2;MK3;oui;catégorie A;RDPR;FIXE;NON;commune-centre;242;131;113;56,3;10,5;17;16,2;186;96,2;98;48.861555;2.352217
612;UGC MAILLOT;ILE-DE-FRANCE;PALAIS CONGRES PL PORTE MAILLOT;75117;Paris 17e Arrondissement;168533;75;851;Paris;10706072;Paris;4;764;53;7 317;156 969;163 143;-3,80%;De 150 à 200 000 entrées;UGC;UGC;non;non classé;;FIXE;NON;commune-centre;168;120;80;53,8;28,1;16,1;2;107;47,6;48;48.878512;2.282965
721;MK2 HAUTEFEUILLE;ILE-DE-FRANCE;7 RUE HAUTEFEUILLE;75106;Paris 6e Arrondissement;42428;75;851;Paris;10706072;Paris;4;690;53;8 292;156 926;167 577;-6,40%;De 150 à 200 000 entrées;MK2;MK2;non;non classé;;FIXE;NON;commune-centre;162;121;63;56,1;7,6;23;13,3;138;89,2;90,3;48.852188;2.342788
731;MK2 ODEON;ILE-DE-FRANCE;113 BD ST GERMAIN;75106;Paris 6e Arrondissement;42428;75;851;Paris;10706072;Paris;5;815;53;9 420;247 146;274 191;-9,90%;De 200 à 300 000 entrées;MK2;MK2;non;non classé;;FIXE;NON;commune-centre;120;114;109;49,2;21,9;22,3;6,6;80;70;74,1;48.852437;2.338266
733;STUDIO GALANDE;ILE-DE-FRANCE;42 RUE GALANDE;75105;Paris 5e Arrondissement;59333;75;851;Paris;10706072;Paris;1;97;53;1 747;19 974;21 724;-8,10%;De 10 à 20 000 entrées;STUDIO GALANDE;;oui;catégorie A;;FIXE;NON;commune-centre;243;170;9;43,8;9,8;43,6;2,8;191;79;85,2;48.851619;2.347076
741;LUXEMBOURG;ILE-DE-FRANCE;67 69 RUE MONSIEUR LE PRINCE;75106;Paris 6e Arrondissement;42428;75;851;Paris;10706072;Paris;3;334;53;5 171;79 314;66 682;19%;De 50 à 80 000 entrées;CINEPOQUE;;oui;catégorie A;RD;FIXE;NON;commune-centre;244;109;38;64;9,3;15,4;11,3;195;85,3;87,8;48.84824;2.340797
751;ST ANDRE DES ARTS;ILE-DE-FRANCE;30 RUE ST ANDRE DES ARTS;75106;Paris 6e Arrondissement;42428;75;851;Paris;10706072;Paris;3;510;53;5 500;55 200;57 584;-4,10%;De 50 à 80 000 entrées;SOCIETE CINEMA SAINT ANDRE DES ARTS;MC5;oui;catégorie A;PR;FIXE;NON;commune-centre;415;158;57;51,3;13,7;24,4;10,6;314;79;78,7;48.853361;2.34211
801;MK2 PARNASSE;ILE-DE-FRANCE;11 RUE JULES CHAPLAIN;75106;Paris 6e Arrondissement;42428;75;851;Paris;10706072;Paris;3;284;53;6 180;67 422;60 161;12%;De 50 à 80 000 entrées;MK2;MK3;non;non classé;;FIXE;NON;commune-centre;194;140;16;49;20,3;19;11,7;140;66,3;66,7;48.842813;2.330525
802;UGC ROTONDE;ILE-DE-FRANCE;103 BD DU MONTPARNASSE;75106;Paris 6e Arrondissement;42428;75;851;Paris;10706072;Paris;3;454;53;6 036;110 333;119 524;-7,70%;De 100 à 150 000 entrées;UGC;UGC;non;non classé;;FIXE;NON;commune-centre;95;57;48;54,4;13;23,2;9,4;79;81,1;83,7;48.842318;2.328975
803;BRETAGNE;ILE-DE-FRANCE;73 BD DU MONTPARNASSE;75106;Paris 6e Arrondissement;42428;75;851;Paris;10706072;Paris;2;1020;53;4 103;53 710;64 180;-16,30%;De 50 à 80 000 entrées;RADWANSKY-RYTMANN;;non;non classé;;FIXE;NON;commune-centre;33;29;29;0;76,7;23,3;0;2;4,7;6,6;48.843752;2.324925
814;LUCERNAIRE FORUM;ILE-DE-FRANCE;53 RUE NOTRE DAME DES CHAMPS;75106;Paris 6e Arrondissement;42428;75;851;Paris;10706072;Paris;3;148;53;5 408;49 018;53 908;-9,10%;De 40 à 50 000 entrées;LE LUCERNAIRE FORUM;;oui;catégorie A;PR;FIXE;NON;commune-centre;246;168;16;52,2;19,3;15,7;12,8;201;80,4;78,9;48.844244;2.330407
821;PARNASSIEN;ILE-DE-FRANCE;98 BD DU MONTPARNASSE;75114;Paris 14e Arrondissement;139992;75;851;Paris;10706072;Paris;7;842;53;13 825;213 310;223 281;-4,50%;De 200 à 300 000 entrées;MULTICINE;;oui;catégorie A;RD;FIXE;NON;commune-centre;197;133;124;61,1;5,1;16,7;17,1;181;98,5;98,7;48.842443;2.327625
883; CHRISTINE 21;ILE-DE-FRANCE;4 RUE CHRISTINE;75106;Paris 6e Arrondissement;42428;75;851;Paris;10706072;Paris;2;234;53;3 386;49 143;47 751;3%;De 40 à 50 000 entrées;TRIOMPH CINEMA;;oui;catégorie A;PR;FIXE;NON;commune-centre;332;4;0;13,3;61,2;17,7;7,7;280;95,2;92,9;48.854455;2.340132
891;ST GERMAIN DES PRES;ILE-DE-FRANCE;22 RUE GUILLAUME APOLLINAIRE;75106;Paris 6e Arrondissement;42428;75;851;Paris;10706072;Paris;1;252;31;834;16 916;27 218;-37,80%;De 10 à 20 000 entrées;HENOCHSBERG;;oui;catégorie A;;FIXE;NON;commune-centre;35;20;11;37,7;14,7;42,4;5,2;29;92,4;93,2;48.85467;2.333052
1031;PUBLICIS ELYSEES;ILE-DE-FRANCE;133 AV DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;36694;75;851;Paris;10706072;Paris;2;609;53;3 511;64 507;67 469;-4,40%;De 50 à 80 000 entrées;DRUGSTORE CHAMPS ELYSEES;;non;non classé;;FIXE;NON;commune-centre;264;141;62;21,9;29,3;12,1;36,8;84;44,1;31,8;48.872794;2.296984
1314;LE BEVERLEY;ILE-DE-FRANCE;14 RUE VILLE NEUVE;75102;Paris 2e Arrondissement;20796;75;851;Paris;10706072;Paris;1;100;53;1 412;24 822;30 425;-18,40%;De 20 à 30 000 entrées;;;non;non classé;;FIXE;NON;commune-centre;75;0;0;68,5;9,7;21,8;0;1;4;2,1;48.870120;2.348667
1392;L'ARCHIPEL;ILE-DE-FRANCE;17 BD DE STRASBOURG;75110;Paris 10e Arrondissement;91770;75;851;Paris;10706072;Paris;2;204;50;2 717;32 930;33 854;-2,70%;De 30 à 40 000 entrées;PARIS CINE;;oui;catégorie A;RDJPPR;FIXE;NON;commune-centre;221;88;2;56,7;17,5;13,2;12,6;202;78,2;90,5;48.870455;2.35466
1393;LE BRADY;ILE-DE-FRANCE;39 BOULEVARD DE STRASBOURG;75110;Paris 10e Arrondissement;91770;75;851;Paris;10706072;Paris;2;139;53;4 923;62 435;59 023;6%;De 50 à 80 000 entrées;BRADY SPECTACLES;;oui;catégorie A;RDJPPR;FIXE;NON;commune-centre;353;117;5;49,3;15,3;21,5;13,9;270;84,7;85,4;48.871771;2.355398
1681;UGC CINE CITE LES HALLES;ILE-DE-FRANCE;101 RUE BERGER;75101;Paris 1er Arrondissement;16545;75;851;Paris;10706072;Paris;27;3894;53;69 722;3 077 064;3 277 773;-6,10%;3 millions d'entrées ou plus;UGC;UGC;non;non classé;;FIXE;OUI;commune-centre;496;419;409;35,2;42,6;17,7;4,5;269;48,4;43,1;48.861424;2.345829
1791;LUMINOR HOTEL DE VILLE;ILE-DE-FRANCE;20 RUE DU TEMPLE;75104;Paris 4e Arrondissement;27146;75;851;Paris;10706072;Paris;2;238;51;3 965;82 588;87 952;-6,10%;De 80 à 100 000 entrées;CARLOTTA CINEMAS;;oui;catégorie A;RDPR;FIXE;NON;commune-centre;302;136;38;43,5;14,5;25,4;16,7;216;85,3;87,6;48.858689;2.353591
2251;MAJESTIC PASSY;ILE-DE-FRANCE;18 - 20 RUE DE PASSY;75116;Paris 16e Arrondissement;165487;75;851;Paris;10706072;Paris;3;637;53;5 227;128 323;129 896;-1,20%;De 100 à 150 000 entrées;LES ECRANS DE PARIS;;non;non classé;;FIXE;NON;commune-centre;220;114;56;50;29,7;14,9;5,4;127;55,1;55,2;48.858204;2.282104
2543;MAC MAHON;ILE-DE-FRANCE;5/7 AV MAC MAHON;75117;Paris 17e Arrondissement;168533;75;851;Paris;10706072;Paris;1;137;49;816;21 308;22 202;-4,00%;De 20 à 30 000 entrées;CINEMA MAC MAHON;;oui;catégorie A;PR;FIXE;NON;commune-centre;132;14;1;39,1;48,9;11,9;0;108;88,5;87;48.875715;2.294655
2982;CAUMARTIN 1  EX CINEVOG;ILE-DE-FRANCE;101 RUE ST LAZARE;75109;Paris 9e Arrondissement;59408;75;851;Paris;10706072;Paris;5;501;53;9 013;195 997;195 854;0%;De 150 à 200 000 entrées;MULTICINE;;oui;catégorie A;;FIXE;NON;commune-centre;117;96;91;66,6;5;19;9,3;102;89,3;88,8;48.87561;2.32791
3211;LE CINEMA DES CINEASTES;ILE-DE-FRANCE;7 AVENUE DE CLICHY;75117;Paris 17e Arrondissement;168533;75;851;Paris;10706072;Paris;3;478;53;5 924;165 924;174 293;-4,80%;De 150 à 200 000 entrées;ARP;MC5;oui;catégorie A;RDJP;FIXE;NON;commune-centre;178;82;65;45;15,6;26,3;13,1;142;94,9;98,1;48.884303;2.326888
3222;PATHE WEPLER;ILE-DE-FRANCE;132 -140 BOULEVARD DE CLICHY;75118;Paris 18e Arrondissement;197580;75;851;Paris;10706072;Paris;12;2139;53;25 150;748 825;742 799;1%;De 700 000 à 1 million d'entrées;Les cinemas GAUMONT-PATHE;Les cinémas Gaumont-Pathé;non;non classé;;FIXE;OUI;commune-centre;240;198;192;38,1;44,9;15,3;1,6;74;30,8;29,5;48.883938;2.328034
3741;STUDIO 28;ILE-DE-FRANCE;10 RUE THOLOZE;75118;Paris 18e Arrondissement;197580;75;851;Paris;10706072;Paris;1;172;50;1 349;46 551;48 444;-3,90%;De 40 à 50 000 entrées;STUDIO 28;;oui;catégorie A;;FIXE;NON;commune-centre;189;150;2;57,8;12,9;24;5,3;139;76,1;79;48.886142;2.335342
4571;LA GEODE;ILE-DE-FRANCE;26 AV CORENTIN CARIOU;75119;Paris 19e Arrondissement;185654;75;851;Paris;10706072;Paris;1;400;48;3 006;250 798;325 706;-23,00%;De 200 à 300 000 entrées;SOCIETE D'ECONOMIE MIXTE LES PRODUCTIONS LA GEODE;;non;non classé;;FIXE;NON;commune-centre;0;0;0;0;0;0;0;0;0;0;48.896314;2.384409
4713;BORIS VIAN GRANDE HALLE;ILE-DE-FRANCE;211 AV JEAN JAURES;75119;Paris 19e Arrondissement;185654;75;851;Paris;10706072;Paris;1;287;5;24;11 732;6 289;87%;De 10 à 20 000 entrées;ETABLISSEMENT PUBLIC DU PARC ET DE LA GRANDE HALLE  DE LA VILLET;;non;non classé;;FIXE;NON;commune-centre;24;0;0;29,5;39,1;17,5;13,9;24;100;100;48.888947;2.392436
4731;MK2 QUAI DE SEINE;ILE-DE-FRANCE;14 QUAI DE LA SEINE;75119;Paris 19e Arrondissement;185654;75;851;Paris;10706072;Paris;6;992;53;12 546;422 724;460 254;-8,20%;De 300 à 450 000 entrées;MK2;MK2;non;non classé;;FIXE;NON;commune-centre;221;161;114;51,9;17;19,2;11,9;166;81,8;85,3;48.885073;2.371493
5691;MK2 GAMBETTA;ILE-DE-FRANCE;6 RUE BELGRAND;75120;Paris 20e Arrondissement;195556;75;851;Paris;10706072;Paris;6;1238;53;12 251;360 120;352 243;2%;De 300 à 450 000 entrées;MK2;MK2;non;non classé;;FIXE;NON;commune-centre;243;138;110;45,2;31,8;18,1;4,8;161;58,7;63,4;48.864763;2.399555
5841;MK2 BASTILLE (côté Fg St Antoine);ILE-DE-FRANCE;5 RUE DU FAUBOURG ST ANTOINE;75111;Paris 11e Arrondissement;149834;75;851;Paris;10706072;Paris;3;430;53;6 281;183 550;100 728;82%;De 150 à 200 000 entrées;MK2;MK2;non;non classé;;FIXE;NON;commune-centre;92;77;53;62,2;15,1;12,4;10,3;84;93,7;94,1;48.853157;2.370719
5852;MAJESTIC BASTILLE;ILE-DE-FRANCE;4 BD RICHARD LENOIR;75111;Paris 11e Arrondissement;149834;75;851;Paris;10706072;Paris;2;356;53;4 123;114 874;109 632;5%;De 100 à 150 000 entrées;LES ECRANS DE PARIS;;oui;catégorie A;RDJP;FIXE;NON;commune-centre;230;91;44;49,8;16,6;22,8;10,7;204;97;97;48.860238;2.37214
5861;MK2 BASTILLE;ILE-DE-FRANCE;3 BD R LENOIR 4/6 BD BEAUMARCHAI;75111;Paris 11e Arrondissement;149834;75;851;Paris;10706072;Paris;4;469;53;8 108;251 653;228 732;10%;De 200 à 300 000 entrées;MK2;MK2;non;non classé;;FIXE;NON;commune-centre;124;100;64;54,9;16,6;21,7;6,8;105;83;84,2;48.854674;2.369381
6212;MK2 NATION;ILE-DE-FRANCE;133 BOULEVARD DIDEROT;75112;Paris 12e Arrondissement;142340;75;851;Paris;10706072;Paris;4;976;2;154;4 731;241 215;-98,00%;De 2 à 5 000 entrées;MK2;MK2;non;non classé;;FIXE;NON;commune-centre;6;0;0;53,3;46,7;0;0;1;11;8,6;48.848213;2.39311
6531;UGC LYON BASTILLE;ILE-DE-FRANCE;12 RUE DE LYON;75112;Paris 12e Arrondissement;142340;75;851;Paris;10706072;Paris;7;1274;53;14 210;308 721;347 318;-11,10%;De 300 à 450 000 entrées;UGC;UGC;non;non classé;;FIXE;NON;commune-centre;167;122;119;39,3;49,9;10,8;0;48;12,4;10,1;48.847502;2.371855
6611;UGC CINE CITE BERCY;ILE-DE-FRANCE;2 COUR SAINT-EMILION;75112;Paris 12e Arrondissement;142340;75;851;Paris;10706072;Paris;18;4440;53;39 772;1 856 550;2 061 609;-9,90%;De 1,5 à 2 millions d'entrées;UGC;UGC;non;non classé;;FIXE;OUI;commune-centre;341;282;280;27,9;52,9;17,3;1,9;135;32,3;25,2;48.833595;2.38604
7231;CHAPLIN SAINT LAMBERT;ILE-DE-FRANCE;6 RUE PECLET;75115;Paris 15e Arrondissement;234994;75;851;Paris;10706072;Paris;3;365;50;5 263;79 156;85 003;-6,90%;De 50 à 80 000 entrées;CINEMA CHAPLIN;;oui;catégorie A;RDJP;FIXE;NON;commune-centre;370;228;10;55,4;17,7;19,8;7,2;282;68;73,1;48.843204;2.298558
7394;GAUMONT CONVENTION;ILE-DE-FRANCE;27 RUE ALAIN CHARTIER;75115;Paris 15e Arrondissement;234994;75;851;Paris;10706072;Paris;9;1263;53;18 223;457 740;439 311;4%;De 450 à 700 000 entrées;Les cinemas GAUMONT-PATHE;Les cinémas Gaumont-Pathé;non;non classé;;FIXE;OUI;commune-centre;205;173;154;49,7;25,1;20,1;5;119;61,6;56,3;48.837759;2.296259
7491;GAUMONT AQUABOULEVARD;ILE-DE-FRANCE;8/16 RUE DU COLONEL PIERRE AVIA;75115;Paris 15e Arrondissement;234994;75;851;Paris;10706072;Paris;14;2583;53;29 163;708 611;736 176;-3,70%;De 700 000 à 1 million d'entrées;Les cinemas GAUMONT-PATHE;Les cinémas Gaumont-Pathé;non;non classé;;FIXE;OUI;commune-centre;257;212;208;21,7;63,1;14,2;1;45;11,9;8,5;48.830408;2.276322
7711;GAUMONT MONTPARNOS;ILE-DE-FRANCE;16 18 RUE D ODESSA;75114;Paris 14e Arrondissement;139992;75;851;Paris;10706072;Paris;4;397;53;8 270;151 340;174 511;-13,30%;De 150 à 200 000 entrées;Les cinemas GAUMONT-PATHE;Les cinémas Gaumont-Pathé;non;non classé;;FIXE;NON;commune-centre;149;138;19;47,9;16,2;29,1;6,9;90;70,3;68;48.841914;2.324596
8132;GAUMONT ALESIA;ILE-DE-FRANCE;73 AVENUE DU GENERAL LECLERC;75114;Paris 14e Arrondissement;139992;75;851;Paris;10706072;Paris;8;1384;53;17 248;443 203;463 114;-4,30%;De 300 à 450 000 entrées;Les cinemas GAUMONT-PATHE;Les cinémas Gaumont-Pathé;non;non classé;;FIXE;OUI;commune-centre;180;141;130;38,9;46,5;13,8;0,9;57;27,4;25;48.828166;2.327463
8161; CHAPLIN DENFERT;ILE-DE-FRANCE;24 PLACE DENFERT ROCHEREAU;75114;Paris 14e Arrondissement;139992;75;851;Paris;10706072;Paris;1;133;53;1 747;35 918;36 535;-1,70%;De 30 à 40 000 entrées;CINEMA CHAPLIN;;oui;catégorie A;JP;FIXE;NON;commune-centre;244;135;4;55,4;17,8;19,1;7,7;198;73,6;82,8;48.833879;2.330976
8291;L ARLEQUIN PANORAMA;ILE-DE-FRANCE;76 RUE DE RENNES;75106;Paris 6e Arrondissement;42428;75;851;Paris;10706072;Paris;3;595;53;5 258;145 091;148 351;-2,20%;De 100 à 150 000 entrées;LES ECRANS DE PARIS;;oui;catégorie A;RDPR;FIXE;NON;commune-centre;251;88;60;60,2;4,9;22;12,9;155;96,6;90,2;48.851278;2.330648
8331;UGC DANTON;ILE-DE-FRANCE;99 BD ST GERMAIN;75106;Paris 6e Arrondissement;42428;75;851;Paris;10706072;Paris;4;684;53;8 380;226 027;222 504;2%;De 200 à 300 000 entrées;UGC;UGC;non;non classé;;FIXE;NON;commune-centre;95;88;59;51,9;25,1;20,3;2,7;53;60,7;59,9;48.852138;2.338995
8341;NOUVEL ODEON;ILE-DE-FRANCE;6 RUE DE L ECOLE DE MEDECINE;75106;Paris 6e Arrondissement;42428;75;851;Paris;10706072;Paris;1;119;53;1 669;28 602;28 807;-0,70%;De 20 à 30 000 entrées;CINEDEVIL;Xanthie Films;oui;catégorie A;;FIXE;NON;commune-centre;97;19;10;70,8;1,5;22,6;5,1;87;95;95,2;48.850764;2.341747
8353;UGC ODEON;ILE-DE-FRANCE;124 BD ST GERMAIN;75106;Paris 6e Arrondissement;42428;75;851;Paris;10706072;Paris;5;722;53;10 803;248 480;279 923;-11,20%;De 200 à 300 000 entrées;UGC;UGC;non;non classé;;FIXE;NON;commune-centre;130;120;87;49,8;26,6;19,3;4,3;58;51,3;57;48.852353;2.339834
8361;ESPACE SAINT MICHEL;ILE-DE-FRANCE;7 PLACE ST MICHEL;75105;Paris 5e Arrondissement;59333;75;851;Paris;10706072;Paris;2;210;53;4 002;45 611;47 744;-4,50%;De 40 à 50 000 entrées;SOCIETE DE DIFFUSION AUDIO-VISUELLE SODIAV;;oui;catégorie A;RD;FIXE;NON;commune-centre;77;42;41;58,3;10,8;10,9;19,9;72;95,2;96,2;48.853093;2.344228
8374;ECOLES 21;ILE-DE-FRANCE;23 RUE DES ECOLES;75105;Paris 5e Arrondissement;59333;75;851;Paris;10706072;Paris;2;200;53;3 384;41 578;42 730;-2,70%;De 40 à 50 000 entrées;MOCKY DELICIOUS PRODUCTS;;oui;catégorie A;PR;FIXE;NON;commune-centre;308;0;0;46,6;40,8;12,6;0;261;83,8;85,1;48.848384;2.348973
8391;LE CINEMA DU PANTHEON;ILE-DE-FRANCE;13 RUE VICTOR COUSIN;75105;Paris 5e Arrondissement;59333;75;851;Paris;10706072;Paris;1;200;53;1 644;28 670;31 905;-10,10%;De 20 à 30 000 entrées;SOCIETE D'EXPLOITATION DU CINEMA DU PANTHEON;;oui;catégorie A;RD;FIXE;NON;commune-centre;72;21;6;86,3;1,8;8,7;3,2;66;99,5;97,9;48.847502;2.342301
8392;ACCATONE;ILE-DE-FRANCE;20 RUE CUJAS;75105;Paris 5e Arrondissement;59333;75;851;Paris;10706072;Paris;1;73;52;800;9 951;10 024;-0,70%;De 5 à 10 000 entrées;SARL CINEPOQUE;;oui;catégorie A;;FIXE;NON;commune-centre;91;70;1;76;8,8;10;5,1;78;77,6;73,3;48.84815;2.341975
8422;LE CHAMPO;ILE-DE-FRANCE;51 RUE DES ECOLES;75105;Paris 5e Arrondissement;59333;75;851;Paris;10706072;Paris;2;236;53;4 020;106 522;100 046;6%;De 100 à 150 000 entrées;SOCIETE D'EXPLOITATION DU CHAMPOLLION STUDIO DES ECOLES;;oui;catégorie A;PR;FIXE;NON;commune-centre;209;12;1;34,5;24,9;31,5;9,1;191;94,8;96,1;48.849983;2.343211
8425;QUARTIER LATIN I;ILE-DE-FRANCE;9 RUE CHAMPOLLION;75105;Paris 5e Arrondissement;59333;75;851;Paris;10706072;Paris;2;164;53;3 711;99 940;100 690;-0,70%;De 80 à 100 000 entrées;CINE SORBONNE;;oui;catégorie A;PR;FIXE;NON;commune-centre;419;5;3;20,4;51,5;15,7;12,4;371;95,2;96,1;48.849504;2.342788
8451;STUDIO DES URSULINES;ILE-DE-FRANCE;10 RUE DES URSULINES;75105;Paris 5e Arrondissement;59333;75;851;Paris;10706072;Paris;1;122;50;1 320;29 384;30 522;-3,70%;De 20 à 30 000 entrées;LE STUDIO DES URSULINES;;oui;catégorie A;JPPR;FIXE;NON;commune-centre;136;14;5;23;14,4;35,9;26,7;122;60,5;91,3;48.842733;2.342044
